"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
NV,90994,104789,112985,123243,133731,130174,144957,150718,163400,176999,190122,201661,217655,233459,233766,238093,250239,256716,282200,296498,291313,286208,290160,300667,300567,302688,303314,330578,353306,389011,410370,421560,436191,460325,499559,514831,560931,565909,583779,606178,625647,632924,626631,652215,685415,704990,744557,733140,697172,651354,646700,633139,639160,659264,661976,651378,680123,706273,727227,,,,,,,,,,,,,,,,,,,,,,,,
NY,2989032,3093838,3238540,3305923,3382126,3664673,3867170,3955831,4052442,4200652,4303439,4251263,4269847,4419080,4128073,3925249,4224994,4195220,4195842,3972800,3863274,3673745,3529658,3353921,3403950,3508528,3554662,3658508,3748830,3771097,3768938,3703136,3788665,3813731,3752701,3791092,3940340,4013224,3939103,4061178,4138666,4021811,4031388,4163545,4261834,4153199,3873247,3958020,3874874,3698703,3728492,3615327,3498479,3630750,3752506,3750488,3685207,3680352,3854184,,,,,,,,,,,,,,,,,,,,,,,,
OH,2994711,2898735,3036395,3113988,3215365,3369016,3539868,3543981,3710053,3856077,3932645,3871518,4125705,4218370,4198106,3979902,4208900,4198403,4275771,4261990,3950811,3848330,3507765,3444507,3646301,3622387,3591701,3708183,3844211,3953736,3822978,3821363,3864860,3917038,4026924,4109185,4196129,4180825,4080012,4245853,4273427,4010965,3954608,4020593,4054623,4081428,3921590,4049462,3999755,3666515,3830923,3798371,3659190,3734332,3834384,3745851,3695217,3645373,3755870,,,,,,,,,,,,,,,,,,,,,,,,
OK,580906,582692,692041,768636,802725,774367,744879,763519,843549,886447,939226,965680,1019204,1024152,1064042,1070091,1162766,1224894,1266603,1322376,1213993,1248960,1318075,1316946,1322507,1297798,1203182,1256837,1291311,1325070,1393309,1321377,1337475,1396903,1402103,1376001,1438055,1444227,1449160,1432209,1486799,1508230,1458526,1488461,1477461,1527097,1566694,1572521,1582452,1492392,1582339,1588095,1564226,1622845,1685566,1632954,1635877,1646626,1706535,,,,,,,,,,,,,,,,,,,,,,,,
OR,470579,485140,509385,527201,578504,591834,630433,646405,691620,733064,752924,796879,837435,854962,837588,867638,885915,885093,951139,977131,945029,939039,905941,868020,936508,913873,895457,940455,991005,999506,993039,1026228,1019290,1038599,1053488,1059502,1103336,1114829,1125373,1150420,1135473,1043441,1038743,1017177,1012895,1043014,1077541,1062795,1047192,1012804,981273,1007805,978305,996229,992970,970894,987463,1031576,1012242,,,,,,,,,,,,,,,,,,,,,,,,
PA,3253214,3146037,3255423,3391013,3588928,3731977,3831882,3816103,3959290,3982119,4106916,4044955,4187795,4294356,4124018,3913887,4164173,4127190,4128436,4249658,3996299,3809830,3363346,3377212,3604664,3434064,3378296,3551982,3713946,3738812,3647112,3584645,3684806,3755566,3829642,3888467,3923633,3889569,3730912,3770848,3942074,3849655,3911083,3961080,4008376,4035405,3908856,3963066,3942348,3625630,3756407,3729309,3621718,3828165,3955147,3872178,3760632,3809955,3961566,,,,,,,,,,,,,,,,,,,,,,,,
RI,187082,172905,180862,180600,178156,173485,175290,193450,197936,210703,222536,235513,236763,231946,215591,206221,215504,223147,212617,201339,185615,175209,174887,180973,192232,204275,206204,215862,223279,216864,214939,220203,246532,202715,241346,230325,220140,217889,226678,226813,205766,204161,203880,219115,216892,210046,200880,198330,194320,194851,195497,185912,183954,197499,204878,203300,186109,183816,197377,,,,,,,,,,,,,,,,,,,,,,,,
SC,489216,507093,540137,561023,560524,554319,593446,603092,654373,699204,745729,779638,834960,886118,858642,840874,964613,1000303,994484,984487,997901,1002177,973134,1006503,1069330,1076310,1142219,1178512,1235317,1243836,1269960,1294733,1311056,1368980,1369400,1426887,1465968,1514026,1561047,1567482,1614128,1563023,1601989,1607730,1712248,1684154,1693408,1670947,1637705,1573712,1653816,1611624,1567748,1602053,1642099,1660178,1652056,1643724,1671781,,,,,,,,,,,,,,,,,,,,,,,,
SD,128835,131556,136645,140408,143784,140065,146362,145670,153321,159805,168792,170183,179190,176823,172589,181948,195374,196832,205651,204965,190687,178760,191238,185488,188704,194819,195032,195204,205416,214315,220217,216736,219688,233039,240112,243598,256639,245398,243915,248864,263270,255811,275235,279620,288818,306348,311156,330884,353531,363091,379016,378973,376640,390343,393981,385859,382983,384986,396837,,,,,,,,,,,,,,,,,,,,,,,,
TN,962617,978121,1015575,1062187,1088445,1137343,1231562,1236057,1284591,1340773,1365610,1371116,1473992,1614086,1578503,1614225,1720063,1779374,1762976,1800371,1724916,1693019,1611851,1660254,1737534,1711499,1700016,1712673,1777007,1829468,1804944,1803881,1849079,1882954,1933445,1951894,2059423,2036478,2118307,2163553,2197309,2209605,2235042,2252846,2282706,2341365,2332636,2345222,2283921,2087484,2251575,2200769,2085631,2137773,2205501,2180072,2209517,2167105,2255868,,,,,,,,,,,,,,,,,,,,,,,,
TX,4416216,4447880,4640675,4894089,5012683,5212184,5557255,5879030,6268911,6656323,6921781,7233774,7623194,8241366,8093721,7511439,7835920,8475779,8941144,9307928,9385532,9147369,8471165,8406461,8946242,9011817,9007599,9240071,9811771,10093725,10091766,10094638,10253144,10350894,10663278,10811073,11579043,11984538,12161299,11788094,12141592,11942555,12241015,12028704,12074332,11539444,11677436,11779339,11263778,10884447,11728654,11937899,11999994,12785527,12789688,12937563,13164829,13424141,14258824,,,,,,,,,,,,,,,,,,,,,,,,
UT,303229,300811,310319,311815,334525,339504,350834,345267,365623,395838,397019,415199,428177,457776,473666,480756,510233,486089,510695,526397,504574,478203,467638,491810,504008,500434,470786,462389,526305,537620,538104,568042,554346,579508,589907,640342,670541,684793,707959,699762,744480,713979,693795,704447,735427,762159,779275,781023,768036,742250,757800,795887,791539,833312,800078,803446,812753,829148,835121,,,,,,,,,,,,,,,,,,,,,,,,
VA,851297,854600,883702,939691,969280,1046094,1116959,1137190,1197529,1237230,1279028,1322363,1375395,1435070,1382349,1358994,1443835,1486224,1515163,1568370,1530854,1514259,1501050,1559137,1636831,1670500,1756943,1847217,1921950,1965088,1969215,1975083,2000648,2075789,2099517,2167244,2221828,2219906,2245041,2308982,2405827,2337547,2370458,2442514,2567450,2642157,2581074,2643190,2544221,2429455,2491854,2387551,2348356,2416930,2435979,2374507,2332102,2302335,2401238,,,,,,,,,,,,,,,,,,,,,,,,
VT,68554,71941,74781,74605,72070,83090,90907,94557,100490,106584,113222,116968,123917,126434,116837,114356,131790,129325,134455,131782,125793,120672,115117,123272,132836,134538,128263,137510,144630,142529,127389,133727,139627,137459,136875,134056,141121,145799,137295,135030,148507,148858,149732,152335,162653,161183,157716,154815,146384,156687,156046,151927,129759,137698,140498,140924,135650,134598,139153,,,,,,,,,,,,,,,,,,,,,,,,
WA,807277,823383,860062,900608,961435,996454,1058961,1112762,1210234,1296162,1294145,1320979,1462402,1498556,1494231,1458166,1506955,1524554,1616207,1667783,1636821,1762292,1667861,1624957,1724697,1724684,1758552,1810437,1947741,2013008,2078810,2072434,2105928,2105459,2094429,2141400,2117820,2149761,2229278,2316863,2248092,2029311,1876320,1880774,1943207,1977992,2084284,2049914,2041958,2031912,2042332,2069382,2047699,2045739,2021490,2010043,2073986,2098406,2078665,,,,,,,,,,,,,,,,,,,,,,,,
WI,854308,877011,917963,940067,974857,1030533,1091996,1137123,1184174,1248392,1289050,1293197,1287690,1354483,1341660,1341892,1372938,1437713,1501615,1468965,1463981,1421298,1404352,1419852,1487633,1501131,1425549,1404088,1510126,1516590,1485607,1527216,1524772,1587871,1633387,1698061,1764572,1771900,1751166,1846061,1878161,1853341,1894796,1868851,1892938,1959179,1867717,1902606,1895116,1764012,1808485,1792975,1733338,1828731,1887219,1810006,1793847,1805871,1885868,,,,,,,,,,,,,,,,,,,,,,,,
WV,617977,648667,656276,689629,729022,753923,771519,739838,807461,796648,795739,779534,828980,845774,841728,790364,826694,819746,807745,823762,788175,769650,713139,681588,717840,665396,668346,681320,726601,748561,701782,671304,684688,707438,734061,736423,709036,707259,734561,717413,736985,730823,755537,711812,734849,737053,760310,789826,776230,706207,751360,738120,730734,751371,781210,768613,761973,752851,832914,,,,,,,,,,,,,,,,,,,,,,,,
WY,141355,154474,173407,163153,163391,172698,180286,205150,225588,250536,255480,268453,286868,283507,278885,277367,300313,325289,354800,378316,362253,352782,363372,329172,351234,357215,335938,363821,370702,382037,399316,388124,421423,406877,407936,403151,415040,414704,420795,425120,427791,438258,438549,461215,450647,456839,478077,523640,538379,524122,541756,558021,551167,540265,537553,507953,506363,537178,558594,,,,,,,,,,,,,,,,,,,,,,,,
US,45033606,45684153,47773067,49605630,51766732,53965864,56960904,58916870,62401694,65578920,67720114,69163993,72677208,75723857,73914525,71953031,75966653,77946963,79978066,80835915,78047519,76093624,73006067,72879382,76510942,76406632,76592009,78960216,82711222,84731901,84455290,84379011,85731655,87294876,89010843,90994772,94005089,94656462,94933435,96525795,98694694,96039230,97542436,97834861,100013808,100109417,99387992,100916033,98764639,93969365,97516156,96854306,94369517,97101796,98269642,97366585,97300830,97613024,101083621,,,,,,,,,,,,,,,,,,,,,,,,
